timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.sm [MHz], clocks.max.sm [MHz], power.draw [W], pstate, clocks_event_reasons.active, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_power_cap
2026/08/11 20:08:17.378, 27575 MiB, 4532 MiB, 99 %, 32 %, 81, 2805 MHz, 3090 MHz, 553.59 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:08:47.389, 27575 MiB, 4532 MiB, 86 %, 28 %, 83, 2805 MHz, 3090 MHz, 564.13 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:09:17.401, 27575 MiB, 4532 MiB, 99 %, 32 %, 81, 2805 MHz, 3090 MHz, 565.25 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:09:47.412, 27575 MiB, 4532 MiB, 97 %, 25 %, 83, 2812 MHz, 3090 MHz, 564.86 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:10:17.425, 27575 MiB, 4532 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 562.58 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:10:47.437, 27575 MiB, 4532 MiB, 98 %, 28 %, 81, 2812 MHz, 3090 MHz, 564.51 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:11:17.449, 27575 MiB, 4532 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 560.57 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:11:47.460, 27575 MiB, 4532 MiB, 99 %, 32 %, 83, 2805 MHz, 3090 MHz, 568.37 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:12:17.472, 27575 MiB, 4532 MiB, 96 %, 30 %, 83, 2805 MHz, 3090 MHz, 564.99 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:12:47.483, 27575 MiB, 4532 MiB, 99 %, 32 %, 82, 2805 MHz, 3090 MHz, 565.08 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:13:17.496, 27575 MiB, 4532 MiB, 99 %, 31 %, 82, 2805 MHz, 3090 MHz, 563.10 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:13:47.508, 27578 MiB, 4529 MiB, 99 %, 32 %, 80, 2812 MHz, 3090 MHz, 552.90 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:14:17.519, 27574 MiB, 4533 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 552.18 W, P1, 0x0000000000000004, Not Active, Active
