timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.sm [MHz], clocks.max.sm [MHz], power.draw [W], pstate, clocks_event_reasons.active, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_power_cap
2026/08/11 18:33:25.137, 27579 MiB, 4528 MiB, 99 %, 31 %, 79, 2820 MHz, 3090 MHz, 551.94 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:33:30.138, 27579 MiB, 4528 MiB, 99 %, 31 %, 80, 2820 MHz, 3090 MHz, 551.19 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:33:35.140, 27579 MiB, 4528 MiB, 98 %, 29 %, 80, 2820 MHz, 3090 MHz, 551.61 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:33:40.143, 27580 MiB, 4527 MiB, 90 %, 26 %, 81, 2820 MHz, 3090 MHz, 551.36 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:33:45.144, 27580 MiB, 4527 MiB, 97 %, 22 %, 81, 2820 MHz, 3090 MHz, 553.90 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:33:50.147, 27580 MiB, 4527 MiB, 98 %, 24 %, 80, 2857 MHz, 3090 MHz, 484.60 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:33:55.148, 27580 MiB, 4527 MiB, 99 %, 32 %, 80, 2812 MHz, 3090 MHz, 550.70 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:34:00.150, 27580 MiB, 4527 MiB, 99 %, 32 %, 81, 2820 MHz, 3090 MHz, 548.68 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:34:05.152, 27580 MiB, 4527 MiB, 99 %, 32 %, 81, 2820 MHz, 3090 MHz, 546.65 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:34:10.154, 27580 MiB, 4527 MiB, 99 %, 32 %, 79, 2820 MHz, 3090 MHz, 550.96 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:34:15.155, 27580 MiB, 4527 MiB, 99 %, 31 %, 80, 2820 MHz, 3090 MHz, 550.77 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:34:20.158, 27580 MiB, 4527 MiB, 99 %, 31 %, 79, 2820 MHz, 3090 MHz, 551.21 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:34:25.159, 27580 MiB, 4527 MiB, 99 %, 31 %, 80, 2820 MHz, 3090 MHz, 551.89 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:34:30.161, 27580 MiB, 4527 MiB, 81 %, 37 %, 82, 2820 MHz, 3090 MHz, 552.10 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:34:35.163, 27580 MiB, 4527 MiB, 90 %, 37 %, 82, 2820 MHz, 3090 MHz, 552.00 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:34:40.165, 27580 MiB, 4527 MiB, 99 %, 32 %, 82, 2820 MHz, 3090 MHz, 552.33 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:34:45.166, 27580 MiB, 4527 MiB, 99 %, 33 %, 82, 2820 MHz, 3090 MHz, 550.86 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:34:50.168, 27580 MiB, 4527 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 548.07 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:34:55.170, 27580 MiB, 4527 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 551.76 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:35:00.172, 27580 MiB, 4527 MiB, 99 %, 31 %, 80, 2812 MHz, 3090 MHz, 551.42 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:35:05.174, 27580 MiB, 4527 MiB, 99 %, 32 %, 81, 2820 MHz, 3090 MHz, 506.61 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:35:10.176, 27580 MiB, 4527 MiB, 99 %, 31 %, 81, 2820 MHz, 3090 MHz, 551.79 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:35:15.178, 27580 MiB, 4527 MiB, 83 %, 38 %, 81, 2820 MHz, 3090 MHz, 551.84 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:35:20.179, 27580 MiB, 4527 MiB, 90 %, 37 %, 81, 2820 MHz, 3090 MHz, 551.59 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:35:25.181, 27580 MiB, 4527 MiB, 99 %, 30 %, 82, 2820 MHz, 3090 MHz, 551.90 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:35:30.184, 27580 MiB, 4527 MiB, 99 %, 32 %, 81, 2820 MHz, 3090 MHz, 553.74 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:35:35.186, 27580 MiB, 4527 MiB, 99 %, 31 %, 82, 2820 MHz, 3090 MHz, 551.62 W, P1, 0x0000000000000004, Not Active, Active
