timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.sm [MHz], clocks.max.sm [MHz], power.draw [W], pstate, clocks_event_reasons.active, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_power_cap
2026/08/12 03:51:54.565, 27619 MiB, 4488 MiB, 98 %, 26 %, 82, 2812 MHz, 3090 MHz, 540.90 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:52:24.577, 27619 MiB, 4488 MiB, 99 %, 30 %, 82, 2812 MHz, 3090 MHz, 541.60 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:52:54.589, 27619 MiB, 4488 MiB, 99 %, 31 %, 80, 2812 MHz, 3090 MHz, 545.70 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:53:24.601, 27619 MiB, 4488 MiB, 99 %, 30 %, 82, 2820 MHz, 3090 MHz, 540.30 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:53:54.612, 27619 MiB, 4488 MiB, 99 %, 30 %, 82, 2812 MHz, 3090 MHz, 542.10 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:54:24.624, 27619 MiB, 4488 MiB, 99 %, 32 %, 78, 2812 MHz, 3090 MHz, 538.88 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:54:54.636, 27641 MiB, 4465 MiB, 99 %, 32 %, 81, 2820 MHz, 3090 MHz, 539.85 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:55:24.648, 27619 MiB, 4488 MiB, 87 %, 25 %, 82, 2820 MHz, 3090 MHz, 541.93 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:55:54.661, 27619 MiB, 4488 MiB, 80 %, 25 %, 80, 2812 MHz, 3090 MHz, 487.23 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:56:24.671, 27619 MiB, 4488 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 540.90 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:56:54.682, 27619 MiB, 4488 MiB, 99 %, 32 %, 83, 2820 MHz, 3090 MHz, 496.18 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:57:24.693, 27619 MiB, 4488 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 517.66 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:57:54.704, 27619 MiB, 4488 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 539.85 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:58:24.715, 27619 MiB, 4488 MiB, 99 %, 32 %, 80, 2820 MHz, 3090 MHz, 540.30 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:58:54.727, 27619 MiB, 4488 MiB, 82 %, 27 %, 81, 2812 MHz, 3090 MHz, 543.34 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:59:24.739, 27619 MiB, 4488 MiB, 99 %, 30 %, 81, 2812 MHz, 3090 MHz, 541.90 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:59:54.750, 27629 MiB, 4478 MiB, 99 %, 31 %, 81, 2820 MHz, 3090 MHz, 540.95 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:00:24.762, 27619 MiB, 4488 MiB, 86 %, 26 %, 78, 2805 MHz, 3090 MHz, 536.99 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:00:54.773, 27619 MiB, 4488 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 540.46 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:01:24.785, 27619 MiB, 4488 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 540.86 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:01:54.797, 27619 MiB, 4488 MiB, 83 %, 27 %, 80, 2812 MHz, 3090 MHz, 537.08 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:02:24.808, 27619 MiB, 4488 MiB, 4 %, 0 %, 70, 2535 MHz, 3090 MHz, 105.74 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 04:02:54.819, 27619 MiB, 4488 MiB, 96 %, 30 %, 79, 2820 MHz, 3090 MHz, 537.18 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:03:24.830, 27619 MiB, 4488 MiB, 99 %, 31 %, 80, 2812 MHz, 3090 MHz, 541.15 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:03:54.840, 27619 MiB, 4488 MiB, 98 %, 26 %, 80, 2820 MHz, 3090 MHz, 538.88 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:04:24.851, 27619 MiB, 4488 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 539.53 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:04:54.862, 27619 MiB, 4488 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 540.12 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:05:24.873, 27641 MiB, 4465 MiB, 99 %, 30 %, 80, 2812 MHz, 3090 MHz, 541.17 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:05:54.884, 27619 MiB, 4488 MiB, 87 %, 25 %, 80, 2812 MHz, 3090 MHz, 538.75 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:06:24.897, 27619 MiB, 4488 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 541.09 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:06:54.908, 27641 MiB, 4465 MiB, 99 %, 30 %, 81, 2812 MHz, 3090 MHz, 541.72 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:07:24.919, 27619 MiB, 4488 MiB, 84 %, 27 %, 81, 2812 MHz, 3090 MHz, 541.87 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:07:54.931, 27619 MiB, 4488 MiB, 99 %, 30 %, 82, 2820 MHz, 3090 MHz, 543.04 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:08:24.942, 27619 MiB, 4488 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 541.71 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:08:54.953, 27619 MiB, 4488 MiB, 92 %, 31 %, 80, 2820 MHz, 3090 MHz, 538.82 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 04:09:24.964, 27619 MiB, 4488 MiB, 88 %, 25 %, 80, 2805 MHz, 3090 MHz, 540.54 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:09:54.976, 27619 MiB, 4488 MiB, 99 %, 32 %, 82, 2850 MHz, 3090 MHz, 477.49 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 04:10:24.987, 27619 MiB, 4488 MiB, 99 %, 30 %, 80, 2812 MHz, 3090 MHz, 542.05 W, P1, 0x0000000000000004, Not Active, Active
